person,name_x,party_x,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio,party_short,Last_name,Suffix,LastName,ID_NameParty,Pure_name,FirstName,first,last,party_y,donations2012,donations2014,donations2016,donations2018,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
400623,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,0.5,0.3333333333333333,0.8,1.0,D, Debbie Wasserman Schultz ,Schultz,Schultz,DebbieSchultzD, Debbie Wasserman Schultz ,Debbie,Debbie,Schultz,D,2500.0,0.0,6000.0,3515.0,1164072.0,Q50104,Debbie_Wasserman_Schultz,Debbie Wasserman Schultz,female,white,judaism,1966-09-27,,"40.71611,-73.85",,4.0,True,True,True,True
400628,"Rep. John Barrow [D, 2005-2014]",Democrat,0.75,,,,D, John Barrow ,Barrow,Barrow,JohnBarrowD, John Barrow ,John,,,,,,,,,,,,,,,,,,,,,,,
400630,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,0.75,0.3333333333333333,0.8,0.5,D, Daniel Lipinski ,Lipinski,Lipinski,DanielLipinskiD, Daniel Lipinski ,Daniel,,,,,,,,,,,,,,,,,,,,,,,
400639,"Rep. Emanuel Cleaver II [D, 2005-2022]",Democrat,0.25,0.0,1.0,1.0,D, Emanuel Cleaver II ,II,II,EmanuelIID, Emanuel Cleaver II ,Emanuel,,,,,,,,,,,,,,,,,,,,,,,
400641,"Rep. Brian Higgins [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Brian Higgins ,Higgins,Higgins,BrianHigginsD, Brian Higgins ,Brian,Brian,Higgins,D,,,,,1184405.0,Q505581,Brian_Higgins,Brian Higgins,male,white,catholicism,1959-10-06,,"42.90472,-78.84944",,4.0,True,True,True,True
400647,"Rep. Allyson Schwartz [D, 2005-2014]",Democrat,0.5,,,,D, Allyson Schwartz ,Schwartz,Schwartz,AllysonSchwartzD, Allyson Schwartz ,Allyson,,,,,,,,,,,,,,,,,,,,,,,
400653,"Rep. Al Green [D, 2005-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0,D, Al Green ,Green,Green,AlGreenD, Al Green ,Al,Al,Green,D,,,,,517069.0,Q749039,Al_Green_(politician),Al Green,male,black,protestantism baptist,1947-09-01,,"29.96667,-90.05",,4.0,True,True,True,True
400657,"Rep. Henry Cuellar [D, 2005-2022]",Democrat,0.75,0.6666666666666666,0.8,1.0,D, Henry Cuellar ,Cuellar,Cuellar,HenryCuellarD, Henry Cuellar ,Henry,Henry,Cuellar,D,,,,,1163464.0,Q539562,Henry_Cuellar,Henry Cuellar,male,hispanic,catholicism,1955-09-19,,"27.50611,-99.50722",,4.0,True,True,True,True
400661,"Rep. Gwen Moore [D, 2005-2022]",Democrat,0.0,0.3333333333333333,0.4,1.0,D, Gwen Moore ,Moore,Moore,GwenMooreD, Gwen Moore ,Gwen,Gwen,Moore,D,,,,,1166150.0,Q461698,Gwen_Moore,Gwen Moore,female,black,protestantism baptist,1951-04-18,,"42.72611,-87.80583",,4.0,True,True,True,True
400663,"Rep. Doris Matsui [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Doris Matsui ,Matsui,Matsui,DorisMatsuiD, Doris Matsui ,Doris,Doris,Matsui,D,0.0,2500.0,0.0,0.0,1548355.0,Q399561,Doris_Matsui,Doris Matsui,female,asian,protestantism methodist,1944-09-25,,,,4.0,True,True,True,True
408211,"Rep. Richard Nolan [D, 2013-2018]",Democrat,0.5,0.3333333333333333,0.6,,D, Richard Nolan ,Nolan,Nolan,RichardNolanD, Richard Nolan ,Richard,,,,,,,,,,,,,,,,,,,,,,,
412186,"Rep. Albio Sires [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0,D, Albio Sires ,Sires,Sires,AlbioSiresD, Albio Sires ,Albio,Albio,Sires,D,,,,,2907738.0,Q527509,Albio_Sires,Albio Sires,male,hispanic,,1951-01-26,,"22.93278,-82.38694",,4.0,True,True,True,True
