House Vote #288 2016-06-09T18:20:00 - H.R. 5278: PROMESA
person,state,district,vote,name,party
412407,DE,0,Aye,"Rep. John Carney [D, 2011-2016]",Democrat
412409,FL,11,Aye,"Rep. Richard Nugent [R, 2013-2016]",Republican
412410,FL,10,Aye,"Rep. Daniel Webster [R, 2013-2016]",Republican
412411,FL,15,Aye,"Rep. Dennis Ross [R, 2013-2018]",Republican
412412,FL,24,Aye,"Rep. Frederica Wilson [D, 2013-2022]",Democrat
412416,GA,7,Aye,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,Aye,"Rep. Austin Scott [R, 2011-2022]",Republican
412419,ID,1,Aye,"Rep. Raúl Labrador [R, 2011-2018]",Republican
412420,IL,10,Aye,"Rep. Bob Dold [R, 2015-2016]",Republican
412421,IL,16,Aye,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412422,IL,14,No,"Rep. Randy Hultgren [R, 2011-2018]",Republican
412426,IN,4,Aye,"Rep. Todd Rokita [R, 2011-2018]",Republican
412427,IN,8,Aye,"Rep. Larry Bucshon [R, 2011-2022]",Republican
412428,IN,9,Aye,"Rep. Todd Young [R, 2011-2016]",Republican
412429,KS,1,No,"Rep. Tim Huelskamp [R, 2011-2016]",Republican
412430,KS,3,No,"Rep. Kevin Yoder [R, 2011-2018]",Republican
412431,KS,4,No,"Rep. Mike Pompeo [R, 2011-2017]",Republican
412432,LA,2,No,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Aye,"Rep. Andy Harris [R, 2011-2022]",Republican
412435,MA,9,Aye,"Rep. William Keating [D, 2013-2022]",Democrat
412436,MI,1,Aye,"Rep. Dan Benishek [R, 2011-2016]",Republican
412437,MI,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,No,"Rep. Justin Amash [R, 2011-2020]",Republican
412443,MS,4,No,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,No,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,No,"Rep. Billy Long [R, 2011-2022]",Republican
412446,NV,3,No,"Rep. Joseph Heck [R, 2011-2016]",Republican
412447,NH,1,No,"Rep. Frank Guinta [R, 2015-2016]",Republican
412453,NY,19,No,"Rep. Christopher Gibson [R, 2013-2016]",Republican
412454,NY,22,Aye,"Rep. Richard Hanna [R, 2013-2016]",Republican
412457,NC,2,No,"Rep. Renee Ellmers [R, 2011-2016]",Republican
412460,OH,6,Aye,"Rep. Bill Johnson [R, 2011-2022]",Republican
412461,OH,15,Aye,"Rep. Steve Stivers [R, 2011-2022]",Republican
412462,OH,16,No,"Rep. James Renacci [R, 2011-2018]",Republican
412463,OH,7,Aye,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412465,PA,3,No,"Rep. Mike Kelly [R, 2011-2018]",Republican
412466,PA,7,No,"Rep. Patrick Meehan [R, 2011-2018]",Republican
412468,PA,10,No,"Rep. Tom Marino [R, 2011-2018]",Republican
412469,PA,11,Not Voting,"Rep. Lou Barletta [R, 2011-2018]",Republican
412470,RI,1,Aye,"Rep. David Cicilline [D, 2011-2022]",Democrat
412472,SC,3,No,"Rep. Jeff Duncan [R, 2011-2022]",Republican
412473,SC,4,No,"Rep. Trey Gowdy [R, 2011-2018]",Republican
412474,SC,5,No,"Rep. Mick Mulvaney [R, 2011-2017]",Republican
412475,SD,0,Aye,"Rep. Kristi Noem [R, 2011-2018]",Republican
412476,TN,3,No,"Rep. Charles “Chuck” Fleischmann [R, 2011-2022]",Republican
412477,TN,4,No,"Rep. Scott DesJarlais [R, 2011-2022]",Republican
412478,TN,6,No,"Rep. Diane Black [R, 2011-2018]",Republican
412479,TN,8,Not Voting,"Rep. Stephen Fincher [R, 2011-2016]",Republican
412480,TX,17,No,"Rep. Bill Flores [R, 2011-2020]",Republican
412482,TX,27,No,"Rep. Blake Farenthold [R, 2011-2018]",Republican
412483,VA,2,No,"Rep. Edward “Scott” Rigell [R, 2011-2016]",Republican
412484,VA,5,Aye,"Rep. Robert Hurt [R, 2011-2016]",Republican
412485,VA,9,Aye,"Rep. Morgan Griffith [R, 2011-2022]",Republican
412486,WA,3,Not Voting,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Aye,"Rep. David McKinley [R, 2011-2022]",Republican
412488,WI,7,Aye,"Rep. Sean Duffy [R, 2011-2019]",Republican
412489,WI,8,Aye,"Rep. Reid Ribble [R, 2011-2016]",Republican
412498,CA,44,Aye,"Rep. Janice Hahn [D, 2013-2016]",Democrat
412500,NV,2,Aye,"Rep. Mark Amodei [R, 2011-2022]",Republican
412501,OR,1,Aye,"Rep. Suzanne Bonamici [D, 2012-2022]",Democrat
412503,KY,4,No,"Rep. Thomas Massie [R, 2012-2022]",Republican
412505,WA,1,Aye,"Rep. Suzan DelBene [D, 2012-2022]",Democrat
412506,NJ,10,Not Voting,"Rep. Donald Payne Jr. [D, 2012-2022]",Democrat
412509,AZ,9,Aye,"Rep. Kyrsten Sinema [D, 2013-2018]",Democrat
412510,CA,1,Aye,"Rep. Doug LaMalfa [R, 2013-2022]",Republican
412511,CA,2,Aye,"Rep. Jared Huffman [D, 2013-2022]",Democrat
412512,CA,7,Aye,"Rep. Ami Bera [D, 2013-2022]",Democrat
412513,CA,8,No,"Rep. Paul Cook [R, 2013-2020]",Republican
412514,CA,15,Aye,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
412515,CA,21,Aye,"Rep. David Valadao [R, 2013-2018]",Republican
412516,CA,26,Aye,"Rep. Julia Brownley [D, 2013-2022]",Democrat
