pageid,party_x,wikidataid,wikititle,name_x,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party_x,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,person,name_y,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,name,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
9435059,R,Q3408766,Paul_Cook_(politician),Paul Cook,male,white,,1943-03-03,,"41.53667,-72.79472",,4,True,True,True,True,Paul,Cook,PaulCookR,,,,,,,,,,,412513.0,"Rep. Paul Cook [R, 2013-2020]",0.8333333333333334,1.0,0.8571428571428571,,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,R, Paul Cook ,Cook,Paul,"Rep. Paul Cook [R, 2013-2020]",Republican,0.75,1.0,0.8,0.0
2712157,D,Q1344743,Jerry_McNerney,Jerry McNerney,male,white,,1951-06-18,,"35.11667,-106.61667",,4,True,True,True,True,Jerry,McNerney,JerryMcNerneyD,,,,,,,,,,,412189.0,"Rep. Jerry McNerney [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,0.6666666666666666,D, Jerry McNerney ,McNerney,Jerry,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0
147301,D,Q170581,Nancy_Pelosi,Nancy Pelosi,female,white,catholicism,1940-03-26,,"39.28639,-76.615",,4,True,True,True,True,Nancy,Pelosi,NancyPelosiD,D,0.0,0.0,200.0,0.0,D,0.0,0.0,200.0,0.0,400314.0,"Rep. Nancy Pelosi [D, 2013-2022]",0.3333333333333333,0.8,0.14285714285714285,,0.6666666666666666,0.3333333333333333,0.3333333333333333,,0.42857142857142855,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,,D, Nancy Pelosi ,Pelosi,Nancy,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0
408652,D,Q289317,Barbara_Lee,Barbara Lee,female,white,protestantism baptist,1946-07-16,,"31.79028,-106.42333",,4,True,True,True,True,Barbara,Lee,BarbaraLeeD,,,,,,,,,,,400237.0,"Rep. Barbara Lee [D, 2013-2022]",0.3333333333333333,0.8,0.14285714285714285,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Barbara Lee ,Lee,Barbara,"Rep. Barbara Lee [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0
2070255,D,Q218544,Jackie_Speier,Jackie Speier,female,white,,1950-05-14,,"37.76667,-122.43333",,4,True,True,True,True,Jackie,Speier,JackieSpeierD,,,,,,,,,,,412259.0,"Rep. Jackie Speier [D, 2013-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.0,0.3333333333333333,0.4444444444444444,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.3333333333333333,1.0,D, Jackie Speier ,Speier,Jackie,"Rep. Jackie Speier [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.4,1.0
37076719,D,Q3466996,Eric_Swalwell,Eric Swalwell,male,white,,1980-11-16,,"42.42111,-94.995",,4,True,True,True,True,Eric,Swalwell,EricSwalwellD,D,0.0,0.0,50.0,5.0,D,0.0,0.0,50.0,5.0,412514.0,"Rep. Eric Swalwell [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Eric Swalwell ,Swalwell,Eric,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0
1162310,D,Q675869,Jim_Costa,Jim Costa,male,white,catholicism,1952-04-13,,"36.78167,-119.79222",,4,True,True,True,True,Jim,Costa,JimCostaD,,,,,,,,,,,400618.0,"Rep. Jim Costa [D, 2013-2022]",0.5,,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,1.0,0.7142857142857143,,0.25,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,D, Jim Costa ,Costa,Jim,"Rep. Jim Costa [D, 2013-2022]",Democrat,0.75,0.6666666666666666,0.8,1.0
408815,D,Q291193,Anna_Eshoo,Anna G. Eshoo,female,white,catholicism,1942-12-13,,"41.675,-72.78722",,4,True,True,True,True,Anna,Eshoo,AnnaEshooD,,,,,,,,,,,400124.0,"Rep. Anna Eshoo [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Anna Eshoo ,Eshoo,Anna,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0
408829,D,Q218217,Zoe_Lofgren,Zoe Lofgren,female,white,protestantism lutheran,1947-12-21,,"37.55417,-122.31306",,4,True,True,True,True,Zoe,Lofgren,ZoeLofgrenD,,,,,,,,,,,400245.0,"Rep. Zoe Lofgren [D, 2013-2022]",0.3333333333333333,0.6,0.2857142857142857,0.75,0.3333333333333333,0.0,0.3333333333333333,1.0,0.2857142857142857,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,D, Zoe Lofgren ,Lofgren,Zoe,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.4,0.5
408872,R,Q539493,Devin_Nunes,Devin Nunes,male,white,catholicism,1973-10-01,,"36.20667,-119.3425",,4,True,True,True,True,Devin,Nunes,DevinNunesR,,,,,,,,,,,400297.0,"Rep. Devin Nunes [R, 2013-2022]",0.8333333333333334,1.0,0.8571428571428571,0.5,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,R, Devin Nunes ,Nunes,Devin,"Rep. Devin Nunes [R, 2013-2022]",Republican,0.75,0.6666666666666666,0.8,0.0
