,person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat,Donation_Change
147,67,2018-01-01,D,0.0,1.0,,0.1528,TRAINING,1,0.0
148,68,2012-01-01,D,0.0,0.5,0.0,0.3556,TRAINING,1,0.0
149,68,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3556,TRAINING,1,0.0
150,68,2016-01-01,D,0.0,0.8,0.0,0.3556,TRAINING,1,0.0
151,68,2018-01-01,D,0.0,1.0,,0.3556,TRAINING,1,0.0
154,71,2012-01-01,D,0.0,0.0,0.0,0.389,TRAINING,1,0.0
155,71,2014-01-01,D,0.0,0.3333333333333333,0.0,0.389,TRAINING,1,0.0
153,71,2016-01-01,D,0.0,0.6,0.0,0.389,TRAINING,1,0.0
152,71,2018-01-01,D,0.0,0.5,,0.389,TRAINING,1,0.0
156,73,2012-01-01,D,1000.0,0.0,1000.0,0.8838,TESTING,1,0.0
157,73,2014-01-01,D,1000.0,0.3333333333333333,1000.0,0.8838,TESTING,1,0.0
158,73,2016-01-01,D,1000.0,0.6,1000.0,0.8838,TESTING,1,0.0
159,73,2018-01-01,D,1000.0,1.0,,0.8838,TESTING,1,0.0
160,74,2012-01-01,D,0.0,0.5,0.0,0.5393,TRAINING,1,0.0
161,74,2014-01-01,D,0.0,0.3333333333333333,1000.0,0.5393,TRAINING,1,1000.0
162,74,2016-01-01,D,1000.0,0.8,1000.0,0.5393,TRAINING,1,0.0
163,74,2018-01-01,D,1000.0,1.0,,0.5393,TRAINING,1,0.0
167,75,2012-01-01,D,0.0,0.0,0.0,0.8792,TESTING,1,0.0
166,75,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8792,TESTING,1,0.0
164,75,2016-01-01,D,0.0,0.6,0.0,0.8792,TESTING,1,0.0
165,75,2018-01-01,D,0.0,1.0,,0.8792,TESTING,1,0.0
168,77,2012-01-01,D,0.0,0.0,0.0,0.8433,TESTING,1,0.0
169,77,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8433,TESTING,1,0.0
170,77,2016-01-01,D,0.0,0.6,0.0,0.8433,TESTING,1,0.0
171,77,2018-01-01,D,0.0,1.0,,0.8433,TESTING,1,0.0
172,78,2012-01-01,D,10500.0,0.25,7500.0,0.7513,TESTING,1,-3000.0
173,78,2014-01-01,D,7500.0,0.3333333333333333,5000.0,0.7513,TESTING,1,-2500.0
174,78,2016-01-01,D,5000.0,0.6,40020.0,0.7513,TESTING,1,35020.0
175,78,2018-01-01,D,40020.0,1.0,,0.7513,TESTING,1,0.0
179,79,2012-01-01,D,0.0,0.5,0.0,0.2612,TRAINING,1,0.0
178,79,2014-01-01,D,0.0,0.6666666666666666,0.0,0.2612,TRAINING,1,0.0
176,79,2016-01-01,D,0.0,0.8,0.0,0.2612,TRAINING,1,0.0
177,79,2018-01-01,D,0.0,1.0,,0.2612,TRAINING,1,0.0
180,80,2012-01-01,D,0.0,0.25,0.0,0.7041,TESTING,1,0.0
181,80,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7041,TESTING,1,0.0
182,80,2016-01-01,D,0.0,0.8,0.0,0.7041,TESTING,1,0.0
183,80,2018-01-01,D,0.0,1.0,,0.7041,TESTING,1,0.0
184,81,2012-01-01,D,0.0,0.0,0.0,0.9555,TESTING,1,0.0
185,81,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9555,TESTING,1,0.0
186,81,2016-01-01,D,0.0,0.6,0.0,0.9555,TESTING,1,0.0
187,81,2018-01-01,D,0.0,0.5,,0.9555,TESTING,1,0.0
191,82,2012-01-01,D,0.0,0.5,1050.0,0.6235,TESTING,1,1050.0
190,82,2014-01-01,D,1050.0,0.3333333333333333,1000.0,0.6235,TESTING,1,-50.0
189,82,2016-01-01,D,1000.0,0.8,0.0,0.6235,TESTING,1,-1000.0
188,82,2018-01-01,D,0.0,1.0,,0.6235,TESTING,1,0.0
192,84,2012-01-01,D,0.0,0.0,0.0,0.5486,TRAINING,1,0.0
193,84,2014-01-01,D,0.0,0.6666666666666666,0.0,0.5486,TRAINING,1,0.0
194,84,2016-01-01,D,0.0,0.6,0.0,0.5486,TRAINING,1,0.0
195,84,2018-01-01,D,0.0,1.0,,0.5486,TRAINING,1,0.0
196,85,2012-01-01,D,0.0,0.5,0.0,0.7099,TESTING,1,0.0
197,85,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7099,TESTING,1,0.0
198,85,2016-01-01,D,0.0,0.6,0.0,0.7099,TESTING,1,0.0
199,85,2018-01-01,D,0.0,1.0,,0.7099,TESTING,1,0.0
203,86,2012-01-01,D,0.0,0.5,0.0,0.9670000000000001,TESTING,1,0.0
