person,Year,party_short,donations_dollars,partyline_percent
142,2014,D,2000.0,0.3333333333333333
145,2014,D,0.0,0.3333333333333333
146,2014,D,6050.0,0.3333333333333333
148,2014,D,0.0,0.3333333333333333
150,2014,D,1000.0,0.3333333333333333
151,2014,D,0.0,0.3333333333333333
152,2014,D,500.0,0.3333333333333333
154,2014,D,0.0,0.3333333333333333
156,2014,D,1500.0,0.3333333333333333
157,2014,D,0.0,0.3333333333333333
159,2014,D,5200.0,0.3333333333333333
160,2014,D,0.0,0.6666666666666666
161,2014,D,1000.0,0.3333333333333333
162,2014,D,2000.0,0.3333333333333333
165,2014,D,3300.0,0.6666666666666666
166,2014,D,0.0,0.3333333333333333
167,2014,D,0.0,0.3333333333333333
168,2014,D,0.0,0.3333333333333333
169,2014,D,4600.0,0.6666666666666666
172,2014,D,0.0,0.3333333333333333
174,2014,D,500.0,0.3333333333333333
178,2014,D,0.0,0.3333333333333333
179,2014,D,0.0,0.3333333333333333
182,2014,D,1000.0,0.3333333333333333
185,2014,D,0.0,0.3333333333333333
186,2014,D,0.0,0.3333333333333333
187,2014,D,5200.0,0.3333333333333333
188,2014,D,0.0,0.3333333333333333
191,2014,D,0.0,0.3333333333333333
193,2014,D,0.0,0.3333333333333333
194,2014,D,0.0,0.3333333333333333
195,2014,D,0.0,0.3333333333333333
197,2014,D,0.0,0.3333333333333333
198,2014,D,0.0,0.6666666666666666
199,2014,D,0.0,0.3333333333333333
200,2014,R,0.0,0.6666666666666666
203,2014,R,0.0,0.6666666666666666
205,2014,R,0.0,0.6666666666666666
206,2014,R,0.0,0.6666666666666666
207,2014,R,0.0,0.6666666666666666
211,2014,R,0.0,0.6666666666666666
212,2014,R,1000.0,0.6666666666666666
214,2014,R,0.0,0.6666666666666666
217,2014,R,0.0,1.0
226,2014,R,0.0,0.6666666666666666
227,2014,R,0.0,0.6666666666666666
233,2014,R,0.0,0.3333333333333333
234,2014,R,0.0,0.6666666666666666
235,2014,R,0.0,0.3333333333333333
240,2014,R,0.0,0.6666666666666666
247,2014,R,1000.0,0.6666666666666666
252,2014,R,1000.0,1.0
253,2014,R,1000.0,
258,2014,R,0.0,0.6666666666666666
260,2014,R,2000.0,0.6666666666666666
261,2014,R,0.0,0.6666666666666666
265,2014,R,0.0,0.6666666666666666
268,2014,R,3500.0,0.6666666666666666
