party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
D,0.0,0.6666666666666666,0.0,0.2612,TRAINING,1
D,0.0,0.5,0.0,0.2612,TRAINING,1
D,0.0,0.25,0.0,0.7041,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7041,TESTING,1
D,0.0,0.8,0.0,0.7041,TESTING,1
D,0.0,1.0,,0.7041,TESTING,1
D,0.0,0.0,0.0,0.9555,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9555,TESTING,1
D,0.0,0.6,0.0,0.9555,TESTING,1
D,0.0,0.5,,0.9555,TESTING,1
D,0.0,1.0,,0.6235,TESTING,1
D,1000.0,0.8,0.0,0.6235,TESTING,1
D,1050.0,0.3333333333333333,1000.0,0.6235,TESTING,1
D,0.0,0.5,1050.0,0.6235,TESTING,1
D,0.0,0.0,0.0,0.5486,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.5486,TRAINING,1
D,0.0,0.6,0.0,0.5486,TRAINING,1
D,0.0,1.0,,0.5486,TRAINING,1
D,0.0,0.5,0.0,0.7099,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7099,TESTING,1
D,0.0,0.6,0.0,0.7099,TESTING,1
D,0.0,1.0,,0.7099,TESTING,1
D,0.0,1.0,,0.967,TESTING,1
D,0.0,0.6,0.0,0.967,TESTING,1
D,0.0,0.3333333333333333,0.0,0.967,TESTING,1
D,0.0,0.5,0.0,0.967,TESTING,1
D,0.0,0.0,0.0,0.0775,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0775,TRAINING,1
D,0.0,0.6,0.0,0.0775,TRAINING,1
D,0.0,1.0,,0.0775,TRAINING,1
D,0.0,0.25,0.0,0.8226,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8226,TESTING,1
D,0.0,0.6,0.0,0.8226,TESTING,1
D,0.0,1.0,,0.8226,TESTING,1
D,0.0,0.8,2000.0,0.3152,TRAINING,1
D,2000.0,1.0,,0.3152,TRAINING,1
D,0.0,0.0,0.0,0.3152,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3152,TRAINING,1
D,0.0,0.8,0.0,0.1585,TRAINING,1
D,0.0,1.0,,0.1585,TRAINING,1
D,0.0,0.75,0.0,0.1585,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.1585,TRAINING,1
D,3515.0,1.0,,0.3943,TRAINING,1
D,6000.0,0.8,3515.0,0.3943,TRAINING,1
D,0.0,0.3333333333333333,6000.0,0.3943,TRAINING,1
D,2500.0,0.5,0.0,0.3943,TRAINING,1
D,0.0,0.25,0.0,0.7555,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7555,TESTING,1
D,0.0,0.8,0.0,0.7555,TESTING,1
D,0.0,1.0,,0.7555,TESTING,1
D,0.0,0.0,0.0,0.3073,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3073,TRAINING,1
D,0.0,0.8,0.0,0.3073,TRAINING,1
D,0.0,1.0,,0.3073,TRAINING,1
D,0.0,0.8,0.0,0.1021,TRAINING,1
D,0.0,1.0,,0.1021,TRAINING,1
D,0.0,0.75,0.0,0.1021,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.1021,TRAINING,1
D,0.0,0.0,0.0,0.3843,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3843,TRAINING,1
D,0.0,0.4,0.0,0.3843,TRAINING,1
D,0.0,1.0,,0.3843,TRAINING,1
D,0.0,0.25,2500.0,0.7989,TESTING,1
D,2500.0,0.3333333333333333,0.0,0.7989,TESTING,1
D,0.0,0.6,0.0,0.7989,TESTING,1
D,0.0,1.0,,0.7989,TESTING,1
D,0.0,0.0,0.0,0.9692,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9692,TESTING,1
D,0.0,0.8,0.0,0.9692,TESTING,1
D,0.0,1.0,,0.9692,TESTING,1
D,0.0,1.0,,0.6873,TESTING,1
D,0.0,0.6,0.0,0.6873,TESTING,1
D,0.0,0.3333333333333333,0.0,0.6873,TESTING,1
D,0.0,0.25,0.0,0.6873,TESTING,1
D,0.0,0.75,0.0,0.5675,TESTING,1
D,0.0,0.0,0.0,0.5675,TESTING,1
D,0.0,0.8,0.0,0.5675,TESTING,1
D,0.0,1.0,,0.5675,TESTING,1
D,0.0,0.0,0.0,0.0161,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0161,TRAINING,1
D,0.0,0.8,0.0,0.0161,TRAINING,1
D,0.0,1.0,,0.0161,TRAINING,1
D,0.0,0.5,3500.0,0.4297,TRAINING,1
D,3500.0,0.3333333333333333,0.0,0.4297,TRAINING,1
D,0.0,0.8,0.0,0.4297,TRAINING,1
D,0.0,1.0,,0.4297,TRAINING,1
D,5.0,1.0,,0.0995,TRAINING,1
D,0.0,0.8,5.0,0.0995,TRAINING,1
D,0.0,0.5,0.0,0.0995,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0995,TRAINING,1
D,0.0,0.25,0.0,0.7629,TESTING,1
D,0.0,0.3333333333333333,1000.0,0.7629,TESTING,1
D,1000.0,0.6,0.0,0.7629,TESTING,1
D,0.0,1.0,,0.7629,TESTING,1
D,0.0,0.0,0.0,0.9467,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9467,TESTING,1
D,0.0,0.8,0.0,0.9467,TESTING,1
D,0.0,1.0,,0.9467,TESTING,1
D,3500.0,1.0,,0.1016,TRAINING,1
D,2000.0,0.6,3500.0,0.1016,TRAINING,1
D,0.0,0.3333333333333333,2000.0,0.1016,TRAINING,1
D,0.0,0.0,0.0,0.1016,TRAINING,1
D,0.0,0.25,0.0,0.7869,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7869,TESTING,1
D,0.0,0.6,0.0,0.7869,TESTING,1
D,0.0,1.0,,0.7869,TESTING,1
D,0.0,0.25,0.0,0.6439,TESTING,1
D,0.0,0.3333333333333333,0.0,0.6439,TESTING,1
D,0.0,0.8,0.0,0.6439,TESTING,1
D,0.0,1.0,,0.6439,TESTING,1
D,0.0,0.8,0.0,0.7892,TESTING,1
D,0.0,1.0,,0.7892,TESTING,1
D,0.0,0.5,0.0,0.7892,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7892,TESTING,1
D,0.0,0.25,0.0,0.6863,TESTING,1
D,0.0,0.3333333333333333,0.0,0.6863,TESTING,1
D,0.0,0.8,0.0,0.6863,TESTING,1
D,0.0,1.0,,0.6863,TESTING,1
D,250.0,0.0,0.0,0.7916,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7916,TESTING,1
D,0.0,0.4,650.0,0.7916,TESTING,1
D,650.0,1.0,,0.7916,TESTING,1
D,0.0,1.0,,0.8529,TESTING,1
D,0.0,0.0,0.0,0.8529,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8529,TESTING,1
D,0.0,0.6,0.0,0.8529,TESTING,1
D,0.0,0.5,,0.0878,TRAINING,1
D,0.0,0.8,0.0,0.0878,TRAINING,1
D,0.0,0.5,0.0,0.0878,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0878,TRAINING,1
D,0.0,0.25,0.0,0.9268,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9268,TESTING,1
D,0.0,0.6,0.0,0.9268,TESTING,1
D,0.0,1.0,,0.9268,TESTING,1
D,0.0,0.25,0.0,0.4887,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.4887,TRAINING,1
D,0.0,0.8,0.0,0.4887,TRAINING,1
D,0.0,1.0,,0.4887,TRAINING,1
D,0.0,1.0,,0.4859,TRAINING,1
D,0.0,0.8,0.0,0.4859,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.4859,TRAINING,1
D,0.0,0.25,0.0,0.4859,TRAINING,1
D,2000.0,0.25,3000.0,0.6331,TESTING,1
D,3000.0,0.3333333333333333,2000.0,0.6331,TESTING,1
D,2000.0,0.6,1000.0,0.6331,TESTING,1
D,1000.0,1.0,,0.6331,TESTING,1
D,2000.0,0.75,2000.0,0.8571,TESTING,1
D,2000.0,0.3333333333333333,0.0,0.8571,TESTING,1
D,0.0,0.8,5400.0,0.8571,TESTING,1
D,5400.0,1.0,,0.8571,TESTING,1
D,0.0,0.8,0.0,0.8684,TESTING,1
D,0.0,1.0,,0.8684,TESTING,1
D,0.0,0.75,0.0,0.8684,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8684,TESTING,1
D,500.0,1.0,,0.7208,TESTING,1
D,2000.0,0.6,500.0,0.7208,TESTING,1
D,6050.0,0.3333333333333333,2000.0,0.7208,TESTING,1
D,0.0,0.0,6050.0,0.7208,TESTING,1
D,0.0,0.25,0.0,0.5276,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.5276,TRAINING,1
D,0.0,0.8,0.0,0.5276,TRAINING,1
D,0.0,0.5,,0.5276,TRAINING,1
D,0.0,0.5,1000.0,0.2062,TRAINING,1
D,1000.0,0.3333333333333333,2500.0,0.2062,TRAINING,1
D,2500.0,0.6,10000.0,0.2062,TRAINING,1
D,10000.0,1.0,,0.2062,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0064,TRAINING,1
D,0.0,0.25,0.0,0.0064,TRAINING,1
D,0.0,0.6,0.0,0.0064,TRAINING,1
D,0.0,1.0,,0.0064,TRAINING,1
D,2550.0,1.0,,0.8006,TESTING,1
D,1250.0,0.8,2550.0,0.8006,TESTING,1
D,2000.0,0.0,500.0,0.8006,TESTING,1
D,500.0,0.3333333333333333,1250.0,0.8006,TESTING,1
D,0.0,1.0,,0.2568,TRAINING,1
D,0.0,0.0,0.0,0.2568,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2568,TRAINING,1
D,0.0,0.8,0.0,0.2568,TRAINING,1
D,2500.0,0.8,0.0,0.5463,TRAINING,1
D,0.0,1.0,,0.5463,TRAINING,1
D,0.0,0.25,1500.0,0.5463,TRAINING,1
D,1500.0,0.3333333333333333,2500.0,0.5463,TRAINING,1
D,0.0,1.0,,0.2027,TRAINING,1
D,0.0,0.6,0.0,0.2027,TRAINING,1
D,0.0,0.0,0.0,0.2027,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2027,TRAINING,1
D,1500.0,0.0,5200.0,0.2695,TRAINING,1
