person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Bloomberg_Donations_Diff,Citadel_Donations_Diff,Year_2012,Year_2014,Year_2016
22,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,-200.0,-200.0,0,0,1
23,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
23,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
23,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
24,0.0,0.3333333333333333,0.0,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
24,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
24,0.4,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
25,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,-45.0,-45.0,0,0,1
25,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,50.0,50.0,0,1,0
25,0.0,0.5,0.0,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
26,0.75,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
26,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
