House Vote #151 2015-04-14T17:55:00 - H.R. 650: Preserving Access to Manufactured Housing Act of 2015
person,state,district,vote,name,party
400411,OH,10,Yea,"Rep. Michael Turner [R, 2013-2022]",Republican
400414,MI,6,Yea,"Rep. Fred Upton [R, 1993-2022]",Republican
400415,MD,8,Nay,"Rep. Chris Van Hollen [D, 2003-2016]",Democrat
400416,NY,7,Nay,"Rep. Nydia Velázquez [D, 2013-2022]",Democrat
400417,IN,1,Nay,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,Yea,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,Nay,"Rep. Maxine Waters [D, 2013-2022]",Democrat
400431,KY,1,Yea,"Rep. Ed Whitfield [R, 1995-2016]",Republican
400433,SC,2,Yea,"Rep. Joe Wilson [R, 2001-2022]",Republican
400440,AK,0,Yea,"Rep. Don Young [R, 1973-2022]",Republican
400441,TX,19,Yea,"Rep. Randy Neugebauer [R, 2003-2016]",Republican
400606,AZ,5,Yea,"Rep. Matt Salmon [R, 2013-2016]",Republican
400607,SC,1,Yea,"Rep. Marshall “Mark” Sanford [R, 2013-2018]",Republican
400616,NC,1,Nay,"Rep. George “G.K.” Butterfield Jr. [D, 2004-2022]",Democrat
400618,CA,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,Nay,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400626,GA,6,Yea,"Rep. Tom Price [R, 2005-2017]",Republican
400627,GA,3,Yea,"Rep. Lynn Westmoreland [R, 2007-2016]",Republican
400630,IL,3,Nay,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400636,LA,3,Yea,"Rep. Charles Boustany Jr. [R, 2013-2016]",Republican
400639,MO,5,Nay,"Rep. Emanuel Cleaver II [D, 2005-2022]",Democrat
400640,NE,1,Yea,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,Nay,"Rep. Brian Higgins [D, 2013-2022]",Democrat
400643,NC,5,Yea,"Rep. Virginia Foxx [R, 2005-2022]",Republican
400644,NC,10,Yea,"Rep. Patrick McHenry [R, 2005-2022]",Republican
400646,PA,8,Yea,"Rep. Michael Fitzpatrick [R, 2011-2016]",Republican
400648,PA,15,Yea,"Rep. Charles Dent [R, 2005-2018]",Republican
400651,TX,1,Yea,"Rep. Louie Gohmert Jr. [R, 2005-2022]",Republican
400652,TX,2,Yea,"Rep. Ted Poe [R, 2005-2018]",Republican
400653,TX,9,Nay,"Rep. Al Green [D, 2005-2022]",Democrat
400654,TX,10,Yea,"Rep. Michael McCaul [R, 2005-2022]",Republican
400655,TX,11,Yea,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,Yea,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,Yea,"Rep. Henry Cuellar [D, 2005-2022]",Democrat
400659,WA,5,Yea,"Rep. Cathy Rodgers [R, 2005-2022]",Republican
400660,WA,8,Yea,"Rep. David Reichert [R, 2005-2018]",Republican
400661,WI,4,Nay,"Rep. Gwen Moore [D, 2005-2022]",Democrat
400663,CA,6,Nay,"Rep. Doris Matsui [D, 2013-2022]",Democrat
408211,MN,8,Nay,"Rep. Richard Nolan [D, 2013-2018]",Democrat
409888,PA,9,Yea,"Rep. Bill Shuster [R, 2001-2018]",Republican
412186,NJ,8,Nay,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,Nay,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,CA,23,Yea,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,Yea,"Rep. Doug Lamborn [R, 2007-2022]",Republican
412192,CO,7,Nay,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,Nay,"Rep. Joe Courtney [D, 2007-2022]",Democrat
412195,FL,14,Nay,"Rep. Kathy Castor [D, 2013-2022]",Democrat
412196,FL,16,Yea,"Rep. Vern Buchanan [R, 2013-2022]",Republican
412199,GA,4,Not Voting,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2022]",Democrat
412202,IL,6,Yea,"Rep. Peter Roskam [R, 2007-2018]",Republican
412209,IA,2,Nay,"Rep. David Loebsack [D, 2007-2020]",Democrat
412211,KY,3,Nay,"Rep. John Yarmuth [D, 2007-2022]",Democrat
412212,MD,3,Nay,"Rep. John Sarbanes [D, 2007-2022]",Democrat
412213,MI,7,Yea,"Rep. Tim Walberg [R, 2011-2022]",Republican
412214,MN,1,Nay,"Rep. Timothy Walz [D, 2007-2018]",Democrat
412215,MN,5,Not Voting,"Rep. Keith Ellison [D, 2007-2018]",Democrat
412217,NE,3,Yea,"Rep. Adrian Smith [R, 2007-2022]",Republican
412221,NY,9,Nay,"Rep. Yvette Clarke [D, 2013-2022]",Democrat
412226,OH,4,Yea,"Rep. Jim Jordan [R, 2007-2022]",Republican
412236,TN,9,Nay,"Rep. Steve Cohen [D, 2007-2022]",Democrat
412239,VT,0,Nay,"Rep. Peter Welch [D, 2007-2022]",Democrat
412250,FL,12,Yea,"Rep. Gus Bilirakis [R, 2013-2022]",Republican
412254,MA,3,Nay,"Rep. Niki Tsongas [D, 2013-2018]",Democrat
412255,VA,1,Yea,"Rep. Robert Wittman [R, 2007-2022]",Republican
412256,OH,5,Yea,"Rep. Robert Latta [R, 2007-2022]",Republican
412257,IL,11,Nay,"Rep. Bill Foster [D, 2013-2022]",Democrat
412258,IN,7,Nay,"Rep. André Carson [D, 2008-2022]",Democrat
412259,CA,14,Nay,"Rep. Jackie Speier [D, 2013-2022]",Democrat
412261,LA,1,Yea,"Rep. Steve Scalise [R, 2008-2022]",Republican
412263,MD,4,Nay,"Rep. Donna Edwards [D, 2008-2016]",Democrat
412270,UT,3,Yea,"Rep. Jason Chaffetz [R, 2009-2017]",Republican
412271,CO,6,Yea,"Rep. Mike Coffman [R, 2009-2018]",Republican
412272,VA,11,Nay,"Rep. Gerald Connolly [D, 2009-2022]",Democrat
412275,LA,4,Yea,"Rep. John Fleming [R, 2009-2016]",Republican
412276,FL,9,Nay,"Rep. Alan Grayson [D, 2013-2016]",Democrat
412278,KY,2,Yea,"Rep. Brett Guthrie [R, 2009-2022]",Republican
412280,MS,3,Yea,"Rep. Gregg Harper [R, 2009-2018]",Republican
412282,CT,4,Nay,"Rep. James Himes [D, 2009-2022]",Democrat
412283,CA,50,Yea,"Rep. Duncan Hunter [R, 2013-2020]",Republican
412284,KS,2,Yea,"Rep. Lynn Jenkins [R, 2009-2018]",Republican
412286,AZ,1,Yea,"Rep. Ann Kirkpatrick [D, 2013-2016]",Democrat
412290,NJ,7,Yea,"Rep. Leonard Lance [R, 2009-2018]",Republican
412292,MO,3,Yea,"Rep. Blaine Luetkemeyer [R, 2013-2022]",Republican
412293,NM,3,Nay,"Rep. Ben Luján [D, 2009-2020]",Democrat
412294,WY,0,Yea,"Rep. Cynthia Lummis [R, 2009-2016]",Republican
412295,CA,4,Yea,"Rep. Tom McClintock [R, 2009-2022]",Republican
412302,TX,22,Yea,"Rep. Pete Olson [R, 2009-2020]",Republican
412303,MN,3,Yea,"Rep. Erik Paulsen [R, 2009-2018]",Republican
412307,ME,1,Nay,"Rep. Chellie Pingree [D, 2009-2022]",Democrat
412308,CO,2,Yea,"Rep. Jared Polis [D, 2009-2018]",Democrat
412309,FL,8,Yea,"Rep. Bill Posey [R, 2013-2022]",Republican
412310,TN,1,Yea,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412311,FL,17,Yea,"Rep. Thomas Rooney [R, 2013-2018]",Republican
412315,OR,5,Nay,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,5,Yea,"Rep. Glenn Thompson [R, 2009-2018]",Republican
412318,NV,1,Nay,"Rep. Dina Titus [D, 2013-2022]",Democrat
412319,NY,20,Nay,"Rep. Paul Tonko [D, 2013-2022]",Democrat
412327,OH,11,Nay,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,Nay,"Rep. Mike Quigley [D, 2009-2022]",Democrat
412379,CA,27,Nay,"Rep. Judy Chu [D, 2013-2022]",Democrat
412382,CA,3,Nay,"Rep. John Garamendi [D, 2013-2022]",Democrat
412385,FL,21,Nay,"Rep. Theodore “Ted” Deutch [D, 2013-2016]",Democrat
412388,GA,14,Yea,"Rep. Tom Graves [R, 2013-2020]",Republican
412392,IN,3,Yea,"Rep. Marlin Stutzman [R, 2010-2016]",Republican
412393,NY,23,Yea,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Yea,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,Yea,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,Yea,"Rep. Terri Sewell [D, 2011-2022]",Democrat
412397,AZ,4,Yea,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Yea,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,Yea,"Rep. Eric “Rick” Crawford [R, 2011-2022]",Republican
412402,AR,3,Yea,"Rep. Steve Womack [R, 2011-2022]",Republican
412403,CA,10,Yea,"Rep. Jeff Denham [R, 2013-2018]",Republican
412404,CA,37,Nay,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Yea,"Rep. Scott Tipton [R, 2011-2020]",Republican
412407,DE,0,Yea,"Rep. John Carney [D, 2011-2016]",Democrat
412409,FL,11,Yea,"Rep. Richard Nugent [R, 2013-2016]",Republican
412410,FL,10,Yea,"Rep. Daniel Webster [R, 2013-2016]",Republican
412411,FL,15,Yea,"Rep. Dennis Ross [R, 2013-2018]",Republican
412412,FL,24,Nay,"Rep. Frederica Wilson [D, 2013-2022]",Democrat
412416,GA,7,Yea,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,Yea,"Rep. Austin Scott [R, 2011-2022]",Republican
412419,ID,1,Yea,"Rep. Raúl Labrador [R, 2011-2018]",Republican
412420,IL,10,Yea,"Rep. Bob Dold [R, 2015-2016]",Republican
412421,IL,16,Yea,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412422,IL,14,Yea,"Rep. Randy Hultgren [R, 2011-2018]",Republican
412426,IN,4,Yea,"Rep. Todd Rokita [R, 2011-2018]",Republican
412427,IN,8,Yea,"Rep. Larry Bucshon [R, 2011-2022]",Republican
412428,IN,9,Yea,"Rep. Todd Young [R, 2011-2016]",Republican
412429,KS,1,Yea,"Rep. Tim Huelskamp [R, 2011-2016]",Republican
412430,KS,3,Yea,"Rep. Kevin Yoder [R, 2011-2018]",Republican
