pageid,party_x,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018
411731,D,Q983428,Sanford_Bishop,"Sanford D. Bishop, Jr.",male,black,protestantism baptist,1947-02-04,,"30.72767,-88.05267",,4,True,True,True,True,Sanford,Jr.,SanfordJr.D,,,,,,,,,,
6031063,D,Q983537,Hank_Johnson,Hank Johnson,male,black,soka gakkai,1954-10-02,,"38.895,-77.03667",,4,True,True,True,True,Hank,Johnson,HankJohnsonD,,,,,,,,,,
411737,D,Q45380,John_Lewis_(civil_rights_leader),John Lewis,male,black,protestantism baptist,1940-02-21,,"31.80196,-85.96732",,4,True,True,True,True,John,Lewis,JohnLewisD,D,0.0,0.0,0.0,58.0,D,0.0,0.0,0.0,58.0
28722293,R,Q2156128,Rob_Woodall,Rob Woodall,male,white,,1970-02-11,,"33.95528,-83.38306",,4,True,True,True,True,Rob,Woodall,RobWoodallR,,,,,,,,,,
23939531,R,Q781167,Austin_Scott_(politician),Austin Scott,male,white,,1969-12-10,,"33.47,-81.975",,4,True,True,True,True,Austin,Scott,AustinScottR,,,,,,,,,,
36893778,R,Q3162841,Doug_Collins_(politician),Doug Collins,male,white,,1966-08-16,,"34.3044,-83.8339",,4,True,True,True,True,Doug,Collins,DougCollinsR,,,,,,,,,,
411853,D,Q132071,David_Scott_(Georgia_politician),David Scott,male,black,protestantism baptist,1945-06-27,,"33.99778,-79.2025",,4,True,True,True,True,David,Scott,DavidScottD,,,,,,,,,,
27452031,R,Q1647301,Tom_Graves,Tom Graves,male,white,,1970-02-03,,"27.77306,-82.64",,4,True,True,True,True,Tom,Graves,TomGravesR,,,,,,,,,,
26328774,D,Q32620,Tulsi_Gabbard,Tulsi Gabbard,female,islander,hindu,1981-04-12,,"-14.2667,-170.667",,4,True,True,True,True,Tulsi,Gabbard,TulsiGabbardD,,,,,,,,,,
411870,R,Q549521,Mike_Simpson,Michael K. Simpson,male,white,protestantism restorationism,1950-09-08,,"42.53611,-113.79278",,4,True,True,True,True,Michael,Simpson,MichaelSimpsonR,,,,,,,,,,
411889,D,Q888599,Bobby_Rush,Bobby Rush,male,black,protestantism,1946-11-23,,"31.58222,-84.16556",,4,True,True,True,True,Bobby,Rush,BobbyRushD,,,,,,,,,,
6520375,D,Q3437091,Robin_Kelly,Robin Kelly,female,black,,1956-04-30,,"40.67,-73.94",,4,True,True,True,True,Robin,Kelly,RobinKellyD,,,,,,,,,,
1422461,D,Q518424,Dan_Lipinski,Dan Lipinski,male,white,catholicism,1966-07-15,,"41.88194,-87.62778",,4,True,True,True,True,Dan,Lipinski,DanLipinskiD,,,,,,,,,,
5895960,D,Q465767,Mike_Quigley_(politician),Michael Quigley,male,white,,1958-10-17,,"39.76778,-86.15806",,4,True,True,True,True,Michael,Quigley,MichaelQuigleyD,,,,,,,,,,
412062,D,Q1164657,Danny_K._Davis,Danny K. Davis,male,black,protestantism baptist,1941-09-06,,"33.12167,-91.5475",,4,True,True,True,True,Danny,Davis,DannyDavisD,,,,,,,,,,
412083,D,Q440885,Jan_Schakowsky,Janice D. Schakowsky,female,white,judaism,1944-05-26,,"41.88194,-87.62778",,4,True,True,True,True,Janice,Schakowsky,JaniceSchakowskyD,,,,,,,,,,
11728202,D,Q2903389,Bill_Foster_(politician),Bill Foster,male,white,,1955-10-07,,"43.07472,-89.38444",,4,True,True,True,True,Bill,Foster,BillFosterD,,,,,,,,,,
35907710,R,Q134035,Rodney_Davis_(politician),Rodney L. Davis,male,white,,1970-01-05,,"41.59083,-93.62083",,4,True,True,True,True,Rodney,Davis,RodneyDavisR,,,,,,,,,,
412158,R,Q1701747,John_Shimkus,John Shimkus,male,white,protestantism lutheran,1958-02-21,,"38.6744,-89.9953",,4,True,True,True,True,John,Shimkus,JohnShimkusR,,,,,,,,,,
22201400,R,Q349955,Adam_Kinzinger,Adam Kinzinger,male,white,,1978-02-27,,"41.12,-87.86",,4,True,True,True,True,Adam,Kinzinger,AdamKinzingerR,,,,,,,,,,
