person,Year,party_short,ethnicity,sex,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,Bloomberg_Donations,Citadel_Donations,Bloomberg_donations_lagMinus1,Citadel_donations_lagMinus1
20,2014,R,white,male,1.0,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
20,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
20,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
21,2012,D,white,male,0.25,0.5,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
21,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
21,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
21,2018,D,white,male,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
22,2012,D,white,female,0.25,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.0
22,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,200.0,200.0
22,2016,D,white,female,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,200.0,200.0,0.0,0.0
22,2018,D,white,female,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
23,2012,D,white,female,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
23,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
23,2016,D,white,female,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
23,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
24,2012,D,white,female,0.0,0.3333333333333333,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
24,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
24,2016,D,white,female,0.4,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
24,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
25,2012,D,white,male,0.0,0.5,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
25,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,50.0,50.0
25,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,50.0,50.0,5.0,5.0
25,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,5.0,5.0,,
26,2012,D,white,male,0.75,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
26,2014,D,white,male,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
26,2016,D,white,male,0.8,0.2857142857142857,0.8888888888888888,0.25,0.3333333333333333,0.0,0.0,0.0,0.0
26,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
27,2012,D,white,female,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
27,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
27,2016,D,white,female,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
27,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
28,2012,D,white,female,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.0,0.0,0.0
28,2014,D,white,female,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
28,2016,D,white,female,0.4,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
28,2018,D,white,female,0.5,0.75,1.0,1.0,1.0,0.0,0.0,,
29,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
29,2014,R,white,male,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
29,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
29,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
30,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
30,2014,R,white,male,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
30,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
30,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
31,2012,D,white,female,0.5,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
31,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,0.0,0.0,0.0,0.0
31,2016,D,white,female,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0,396.0,396.0
31,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,396.0,396.0,,
32,2012,D,asian,female,0.25,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.0,0.0,0.0
32,2014,D,asian,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
32,2016,D,asian,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
32,2018,D,asian,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
33,2012,D,white,male,0.25,0.5,0.3333333333333333,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
33,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
33,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,5.0,5.0
33,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,5.0,5.0,,
34,2012,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2014,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2016,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2018,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
35,2012,D,white,male,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
35,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.75,0.0,0.0,0.0,0.0
35,2016,D,white,male,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
35,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
