person_x,name,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,ID_NameParty,first,last,party_x,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,disney_donations2012,disney_donations2014,disney_donations2016,disney_donations2018,person_y,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
400111,"Rep. Lloyd Doggett [D, 2013-2022]",0.3333333333333333,0.6,0.42857142857142855,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.5714285714285714,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,D, Lloyd Doggett ,Doggett,Lloyd,LloydDoggettD,Lloyd,Doggett,D,833550.0,Q363817,Lloyd_Doggett,Lloyd Doggett,male,white,protestantism methodist,1946-10-06,,"30.3,-97.73333",,4.0,True,True,True,True,250.0,0.0,0.0,0.0,400111.0,Democrat,0.0,0.3333333333333333,0.4,1.0
400114,"Rep. Michael Doyle [D, 2003-2018]",0.5,0.8,0.2857142857142857,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5714285714285714,0.4,0.0,1.0,1.0,0.5,0.0,,D, Michael Doyle ,Doyle,Michael,MichaelDoyleD,Michael,Doyle,D,962284.0,Q1344200,Michael_F._Doyle,Michael F. Doyle,male,white,catholicism,1953-08-05,,"40.42222,-79.88611",,4.0,True,True,True,True,,,,,400114.0,Democrat,0.5,0.3333333333333333,0.8,
400122,"Rep. Eliot Engel [D, 2013-2020]",0.5,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.25,1.0,0.6666666666666666,0.25,0.3333333333333333,1.0,D, Eliot Engel ,Engel,Eliot,EliotEngelD,Eliot,Engel,D,963053.0,Q1329618,Eliot_Engel,Eliot L. Engel,male,white,judaism,1947-02-18,,"40.67,-73.94",,4.0,True,True,True,True,,,,,400122.0,Democrat,0.25,0.3333333333333333,0.4,1.0
400124,"Rep. Anna Eshoo [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Anna Eshoo ,Eshoo,Anna,AnnaEshooD,Anna,Eshoo,D,408815.0,Q291193,Anna_Eshoo,Anna G. Eshoo,female,white,catholicism,1942-12-13,,"41.675,-72.78722",,4.0,True,True,True,True,,,,,400124.0,Democrat,0.0,0.3333333333333333,0.8,1.0
400129,"Rep. Sam Farr [D, 2013-2016]",0.3333333333333333,0.8,,,0.6666666666666666,0.6666666666666666,,,0.7142857142857143,0.4,,1.0,0.6666666666666666,0.25,,,D, Sam Farr ,Farr,Sam,SamFarrD,,,,,,,,,,,,,,,,,,,,,,,,400129.0,Democrat,0.5,0.3333333333333333,,
400130,"Rep. Chaka Fattah [D, 1995-2016]",0.3333333333333333,,,,0.6666666666666666,0.3333333333333333,,,0.5714285714285714,0.6,,1.0,0.6666666666666666,0.25,,,D, Chaka Fattah ,Fattah,Chaka,ChakaFattahD,,,,,,,,,,,,,,,,,,,,,,,,400130.0,Democrat,0.5,0.6666666666666666,,
400160,"Rep. Gene Green [D, 1993-2018]",0.3333333333333333,0.8,0.2857142857142857,,0.3333333333333333,0.3333333333333333,,,0.5714285714285714,0.4,0.0,1.0,0.3333333333333333,0.5,0.0,,D, Gene Green ,Green,Gene,GeneGreenD,,,,,,,,,,,,,,,,,,,,,,,,400160.0,Democrat,0.5,0.6666666666666666,0.8,
400162,"Rep. Raúl Grijalva [D, 2013-2022]",0.3333333333333333,0.6,0.0,0.75,0.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,D, Raúl Grijalva ,Grijalva,Raúl,RaúlGrijalvaD,Raúl,Grijalva,D,408529.0,Q946606,Raúl_Grijalva,Raúl M. Grijalva,male,hispanic,catholicism,1948-02-19,,"32.22167,-110.92639",,4.0,True,True,True,True,,,,,400162.0,Democrat,0.0,0.3333333333333333,0.4,1.0
400163,"Rep. Luis Gutiérrez [D, 1993-2018]",0.3333333333333333,0.6,0.14285714285714285,,0.3333333333333333,0.0,,,0.5714285714285714,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,,D, Luis Gutiérrez ,Gutiérrez,Luis,LuisGutiérrezD,,,,,,,,,,,,,,,,,,,,,,,,400163.0,Democrat,0.0,0.3333333333333333,0.4,
400170,"Rep. Alcee Hastings [D, 2013-2021]",0.3333333333333333,0.8,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Alcee Hastings ,Hastings,Alcee,AlceeHastingsD,Alcee,Hastings,D,411264.0,Q1758631,Alcee_Hastings,Alcee L. Hastings,male,black,protestantism methodist,1936-09-05,,"28.66139,-81.39194",,4.0,True,True,True,True,,,,,,,,,,
