person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
64,2018-01-01,D,0.0,1.0,,0.7734,TESTING,1
64,2016-01-01,D,0.0,0.8,0.0,0.7734,TESTING,1
64,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7734,TESTING,1
64,2012-01-01,D,0.0,0.25,0.0,0.7734,TESTING,1
66,2012-01-01,D,0.0,0.25,2600.0,0.1267,TRAINING,1
66,2014-01-01,D,2600.0,0.3333333333333333,2610.0,0.1267,TRAINING,1
66,2016-01-01,D,2610.0,0.6,1602.0,0.1267,TRAINING,1
66,2018-01-01,D,1602.0,1.0,,0.1267,TRAINING,1
67,2012-01-01,D,0.0,0.5,0.0,0.1528,TRAINING,1
67,2014-01-01,D,0.0,0.6666666666666666,0.0,0.1528,TRAINING,1
67,2016-01-01,D,0.0,0.6,0.0,0.1528,TRAINING,1
67,2018-01-01,D,0.0,1.0,,0.1528,TRAINING,1
68,2012-01-01,D,0.0,0.5,0.0,0.3556,TRAINING,1
68,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3556,TRAINING,1
68,2016-01-01,D,0.0,0.8,0.0,0.3556,TRAINING,1
68,2018-01-01,D,0.0,1.0,,0.3556,TRAINING,1
71,2018-01-01,D,0.0,0.5,,0.389,TRAINING,1
71,2016-01-01,D,0.0,0.6,0.0,0.389,TRAINING,1
71,2012-01-01,D,0.0,0.0,0.0,0.389,TRAINING,1
71,2014-01-01,D,0.0,0.3333333333333333,0.0,0.389,TRAINING,1
73,2012-01-01,D,1000.0,0.0,1000.0,0.8838,TESTING,1
73,2014-01-01,D,1000.0,0.3333333333333333,1000.0,0.8838,TESTING,1
73,2016-01-01,D,1000.0,0.6,1000.0,0.8838,TESTING,1
73,2018-01-01,D,1000.0,1.0,,0.8838,TESTING,1
74,2012-01-01,D,0.0,0.5,0.0,0.5393,TRAINING,1
74,2014-01-01,D,0.0,0.3333333333333333,1000.0,0.5393,TRAINING,1
74,2016-01-01,D,1000.0,0.8,1000.0,0.5393,TRAINING,1
74,2018-01-01,D,1000.0,1.0,,0.5393,TRAINING,1
75,2016-01-01,D,0.0,0.6,0.0,0.8792,TESTING,1
75,2018-01-01,D,0.0,1.0,,0.8792,TESTING,1
75,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8792,TESTING,1
75,2012-01-01,D,0.0,0.0,0.0,0.8792,TESTING,1
77,2012-01-01,D,0.0,0.0,0.0,0.8433,TESTING,1
77,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8433,TESTING,1
77,2016-01-01,D,0.0,0.6,0.0,0.8433,TESTING,1
77,2018-01-01,D,0.0,1.0,,0.8433,TESTING,1
78,2012-01-01,D,10500.0,0.25,7500.0,0.7513,TESTING,1
78,2014-01-01,D,7500.0,0.3333333333333333,5000.0,0.7513,TESTING,1
78,2016-01-01,D,5000.0,0.6,40020.0,0.7513,TESTING,1
78,2018-01-01,D,40020.0,1.0,,0.7513,TESTING,1
79,2016-01-01,D,0.0,0.8,0.0,0.2612,TRAINING,1
79,2018-01-01,D,0.0,1.0,,0.2612,TRAINING,1
79,2014-01-01,D,0.0,0.6666666666666666,0.0,0.2612,TRAINING,1
79,2012-01-01,D,0.0,0.5,0.0,0.2612,TRAINING,1
80,2012-01-01,D,0.0,0.25,0.0,0.7041,TESTING,1
80,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7041,TESTING,1
80,2016-01-01,D,0.0,0.8,0.0,0.7041,TESTING,1
80,2018-01-01,D,0.0,1.0,,0.7041,TESTING,1
81,2012-01-01,D,0.0,0.0,0.0,0.9555,TESTING,1
81,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9555,TESTING,1
81,2016-01-01,D,0.0,0.6,0.0,0.9555,TESTING,1
81,2018-01-01,D,0.0,0.5,,0.9555,TESTING,1
82,2018-01-01,D,0.0,1.0,,0.6235,TESTING,1
82,2016-01-01,D,1000.0,0.8,0.0,0.6235,TESTING,1
82,2014-01-01,D,1050.0,0.3333333333333333,1000.0,0.6235,TESTING,1
82,2012-01-01,D,0.0,0.5,1050.0,0.6235,TESTING,1
84,2012-01-01,D,0.0,0.0,0.0,0.5486,TRAINING,1
84,2014-01-01,D,0.0,0.6666666666666666,0.0,0.5486,TRAINING,1
84,2016-01-01,D,0.0,0.6,0.0,0.5486,TRAINING,1
84,2018-01-01,D,0.0,1.0,,0.5486,TRAINING,1
85,2012-01-01,D,0.0,0.5,0.0,0.7099,TESTING,1
85,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7099,TESTING,1
85,2016-01-01,D,0.0,0.6,0.0,0.7099,TESTING,1
85,2018-01-01,D,0.0,1.0,,0.7099,TESTING,1
86,2018-01-01,D,0.0,1.0,,0.967,TESTING,1
86,2016-01-01,D,0.0,0.6,0.0,0.967,TESTING,1
86,2014-01-01,D,0.0,0.3333333333333333,0.0,0.967,TESTING,1
86,2012-01-01,D,0.0,0.5,0.0,0.967,TESTING,1
89,2012-01-01,D,0.0,0.0,0.0,0.0775,TRAINING,1
89,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0775,TRAINING,1
89,2016-01-01,D,0.0,0.6,0.0,0.0775,TRAINING,1
89,2018-01-01,D,0.0,1.0,,0.0775,TRAINING,1
90,2012-01-01,D,0.0,0.25,0.0,0.8226,TESTING,1
90,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8226,TESTING,1
90,2016-01-01,D,0.0,0.6,0.0,0.8226,TESTING,1
90,2018-01-01,D,0.0,1.0,,0.8226,TESTING,1
91,2016-01-01,D,0.0,0.8,2000.0,0.3152,TRAINING,1
91,2018-01-01,D,2000.0,1.0,,0.3152,TRAINING,1
91,2012-01-01,D,0.0,0.0,0.0,0.3152,TRAINING,1
91,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3152,TRAINING,1
94,2016-01-01,D,0.0,0.8,0.0,0.1585,TRAINING,1
94,2018-01-01,D,0.0,1.0,,0.1585,TRAINING,1
94,2012-01-01,D,0.0,0.75,0.0,0.1585,TRAINING,1
94,2014-01-01,D,0.0,0.6666666666666666,0.0,0.1585,TRAINING,1
95,2018-01-01,D,3515.0,1.0,,0.3943,TRAINING,1
95,2016-01-01,D,6000.0,0.8,3515.0,0.3943,TRAINING,1
95,2014-01-01,D,0.0,0.3333333333333333,6000.0,0.3943,TRAINING,1
95,2012-01-01,D,2500.0,0.5,0.0,0.3943,TRAINING,1
99,2012-01-01,D,0.0,0.25,0.0,0.7555,TESTING,1
99,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7555,TESTING,1
99,2016-01-01,D,0.0,0.8,0.0,0.7555,TESTING,1
99,2018-01-01,D,0.0,1.0,,0.7555,TESTING,1
101,2012-01-01,D,0.0,0.0,0.0,0.3073,TRAINING,1
101,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3073,TRAINING,1
101,2016-01-01,D,0.0,0.8,0.0,0.3073,TRAINING,1
101,2018-01-01,D,0.0,1.0,,0.3073,TRAINING,1
102,2016-01-01,D,0.0,0.8,0.0,0.1021,TRAINING,1
102,2018-01-01,D,0.0,1.0,,0.1021,TRAINING,1
102,2012-01-01,D,0.0,0.75,0.0,0.1021,TRAINING,1
102,2014-01-01,D,0.0,0.6666666666666666,0.0,0.1021,TRAINING,1
103,2012-01-01,D,0.0,0.0,0.0,0.3843,TRAINING,1
103,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3843,TRAINING,1
103,2016-01-01,D,0.0,0.4,0.0,0.3843,TRAINING,1
103,2018-01-01,D,0.0,1.0,,0.3843,TRAINING,1
104,2012-01-01,D,0.0,0.25,2500.0,0.7989,TESTING,1
104,2014-01-01,D,2500.0,0.3333333333333333,0.0,0.7989,TESTING,1
104,2016-01-01,D,0.0,0.6,0.0,0.7989,TESTING,1
104,2018-01-01,D,0.0,1.0,,0.7989,TESTING,1
106,2012-01-01,D,0.0,0.0,0.0,0.9692,TESTING,1
106,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9692,TESTING,1
106,2016-01-01,D,0.0,0.8,0.0,0.9692,TESTING,1
106,2018-01-01,D,0.0,1.0,,0.9692,TESTING,1
107,2018-01-01,D,0.0,1.0,,0.6873,TESTING,1
107,2016-01-01,D,0.0,0.6,0.0,0.6873,TESTING,1
107,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6873,TESTING,1
107,2012-01-01,D,0.0,0.25,0.0,0.6873,TESTING,1
108,2012-01-01,D,0.0,0.75,0.0,0.5675,TESTING,1
108,2014-01-01,D,0.0,0.0,0.0,0.5675,TESTING,1
108,2016-01-01,D,0.0,0.8,0.0,0.5675,TESTING,1
108,2018-01-01,D,0.0,1.0,,0.5675,TESTING,1
