person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
25,2012,0.0,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.6949,TESTING
25,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.6949,TESTING
25,2016,0.0,0.4,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.6949,TESTING
25,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.6949,TESTING
26,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2433,TRAINING
26,2012,0.0,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.2433,TRAINING
26,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2433,TRAINING
26,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.2433,TRAINING
30,2018,0.0,1.0,0.75,1.0,1.0,1.0,,0.0,0,1,0,0,1,0,0,0,1,0,0.5311,TRAINING
30,2016,0.0,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0.5311,TRAINING
30,2012,0.0,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,0,1,0,0,0,1,0,0.5311,TRAINING
30,2014,0.0,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0.5311,TRAINING
32,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,1,0,0,0,0,1,0,0.5051,TRAINING
32,2014,0.0,0.0,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0.5051,TRAINING
32,2016,0.0,0.0,0.42857142857142855,0.4444444444444444,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0.5051,TRAINING
32,2018,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,1,0,0,0,0,1,0,0.5051,TRAINING
36,2012,4675.0,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.642,TESTING
36,2014,0.0,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,0.0,4675.0,0,1,0,0,0,0,0,1,1,0,0.642,TESTING
36,2016,0.0,0.6,0.2857142857142857,0.2222222222222222,0.0,0.0,2000.0,0.0,0,1,0,0,0,0,0,1,1,0,0.642,TESTING
36,2018,2000.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.642,TESTING
39,2012,0.0,0.25,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.0,,1,0,0,1,0,0,0,0,1,0,0.1184,TRAINING
39,2014,0.0,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.1184,TRAINING
39,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.1184,TRAINING
39,2018,0.0,0.5,0.75,1.0,1.0,1.0,,0.0,1,0,0,1,0,0,0,0,1,0,0.1184,TRAINING
40,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.4555,TRAINING
40,2016,0.0,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.4555,TRAINING
40,2012,0.0,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.4555,TRAINING
40,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.4555,TRAINING
