first,last,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,pageid,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
Doug,Lamborn,R,,,,,,,,,6144369.0,Q371106,Doug_Lamborn,Doug Lamborn,male,white,,1954-05-24,,"39.3111,-94.9225",,4.0,True,True,True,True
Ed,Perlmutter,D,,,,,,,,,2564157.0,Q331507,Ed_Perlmutter,Ed Perlmutter,male,white,,1953-05-01,,"39.73917,-104.98472",,4.0,True,True,True,True
John,Larson,D,,,,,,,,,410165.0,Q357832,John_B._Larson,John Larson,male,white,catholicism,1948-07-22,,"41.76333,-72.685",,4.0,True,True,True,True
Joe,Courtney,D,,,,,,,,,2274386.0,Q434470,Joe_Courtney_(politician),Joe Courtney,male,white,catholicism,1953-04-06,,"41.76333,-72.685",,4.0,True,True,True,True
Rosa,DeLauro,D,,,,,,,,,410173.0,Q434952,Rosa_DeLauro,Rosa L. DeLauro,female,white,catholicism,1943-03-02,,"41.30833,-72.925",,4.0,True,True,True,True
Ted,Yoho,R,,,,,,,,,35461981.0,Q3090476,Ted_Yoho,Ted Yoho,male,white,catholicism,1955-04-13,,"44.9733,-93.2643",,4.0,True,True,True,True
Bill,Posey,R,,,,,,,,,9255511.0,Q862373,Bill_Posey,Bill Posey,male,white,protestantism methodist,1947-12-18,,"38.895,-77.03667",,4.0,True,True,True,True
Daniel,Webster,R,,,,,,,,,13719578.0,Q1163099,Daniel_Webster_(Florida_politician),Daniel Webster,male,white,,1949-04-27,,"38.34722,-81.63333",,4.0,True,True,True,True
Gus,Bilirakis,R,,,,,,,,,5648306.0,Q1555314,Gus_Bilirakis,Gus Bilirakis,male,white,orthodox eastern,1963-02-08,,"29.66528,-82.33611",,4.0,True,True,True,True
Kathy,Castor,D,,,,,,,,,5508806.0,Q458492,Kathy_Castor,Kathy Castor,female,white,,1966-08-20,,"25.78333,-80.21667",,4.0,True,True,True,True
