person,name,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio
400404,"Rep. Mac Thornberry [R, 1995-2020]",0.75,0.6666666666666666,0.8,0.0
400406,"Rep. Patrick “Pat” Tiberi [R, 2001-2018]",0.75,0.6666666666666666,,
400411,"Rep. Michael Turner [R, 2013-2022]",0.75,0.6666666666666666,0.8,0.0
400414,"Rep. Fred Upton [R, 1993-2022]",0.75,0.6666666666666666,0.8,0.0
400419,"Rep. Greg Walden [R, 1999-2020]",0.75,0.6666666666666666,0.8,0.0
400431,"Rep. Ed Whitfield [R, 1995-2016]",0.75,0.6666666666666666,,
400433,"Rep. Joe Wilson [R, 2001-2022]",0.75,0.6666666666666666,0.8,0.0
400435,"Rep. Frank Wolf [R, 1981-2014]",0.75,,,
400440,"Rep. Don Young [R, 1973-2022]",0.75,0.3333333333333333,0.8,0.0
400441,"Rep. Randy Neugebauer [R, 2003-2016]",0.5,0.6666666666666666,,
400606,"Rep. Matt Salmon [R, 2013-2016]",0.5,0.6666666666666666,,
400607,"Rep. Marshall “Mark” Sanford [R, 2013-2018]",0.25,0.6666666666666666,0.4,
400626,"Rep. Tom Price [R, 2005-2017]",0.75,0.6666666666666666,,
400627,"Rep. Lynn Westmoreland [R, 2007-2016]",0.75,1.0,,
400636,"Rep. Charles Boustany Jr. [R, 2013-2016]",0.75,0.6666666666666666,,
400640,"Rep. Jeff Fortenberry [R, 2005-2022]",0.75,0.6666666666666666,0.8,0.0
400643,"Rep. Virginia Foxx [R, 2005-2022]",0.75,0.6666666666666666,0.6,0.0
400644,"Rep. Patrick McHenry [R, 2005-2022]",0.75,0.6666666666666666,0.8,0.0
400646,"Rep. Michael Fitzpatrick [R, 2011-2016]",0.75,1.0,,
400648,"Rep. Charles Dent [R, 2005-2018]",0.75,0.6666666666666666,,
400651,"Rep. Louie Gohmert Jr. [R, 2005-2022]",0.5,0.6666666666666666,0.2,0.0
400652,"Rep. Ted Poe [R, 2005-2018]",0.5,0.6666666666666666,0.6,
400654,"Rep. Michael McCaul [R, 2005-2022]",0.75,0.6666666666666666,0.8,0.0
400655,"Rep. Michael Conaway [R, 2005-2020]",0.5,0.6666666666666666,0.8,0.0
400656,"Rep. Kenny Marchant [R, 2005-2020]",0.5,0.6666666666666666,0.8,0.0
400659,"Rep. Cathy Rodgers [R, 2005-2022]",0.75,0.6666666666666666,0.8,0.0
400660,"Rep. David Reichert [R, 2005-2018]",0.75,0.6666666666666666,0.8,
409888,"Rep. Bill Shuster [R, 2001-2018]",0.5,0.6666666666666666,0.8,
410396,"Rep. Steve Stockman [R, 2013-2014]",0.25,,,
412011,"Rep. John Campbell III [R, 2013-2014]",0.25,,,
412190,"Rep. Kevin McCarthy [R, 2013-2022]",0.75,0.6666666666666666,0.8,0.0
412191,"Rep. Doug Lamborn [R, 2007-2022]",0.5,0.6666666666666666,0.6,0.0
412196,"Rep. Vern Buchanan [R, 2013-2022]",0.75,0.6666666666666666,0.6,0.0
412202,"Rep. Peter Roskam [R, 2007-2018]",0.75,0.6666666666666666,0.8,
412213,"Rep. Tim Walberg [R, 2011-2022]",0.75,0.6666666666666666,0.8,0.0
412216,"Rep. Michele Bachmann [R, 2007-2014]",0.5,,,
412217,"Rep. Adrian Smith [R, 2007-2022]",0.75,0.6666666666666666,0.8,0.0
412226,"Rep. Jim Jordan [R, 2007-2022]",0.5,0.6666666666666666,0.4,0.0
412250,"Rep. Gus Bilirakis [R, 2013-2022]",0.75,0.6666666666666666,1.0,0.0
412252,"Rep. Paul Broun Jr. [R, 2007-2014]",0.25,,,
412255,"Rep. Robert Wittman [R, 2007-2022]",0.5,0.3333333333333333,0.8,0.0
412256,"Rep. Robert Latta [R, 2007-2022]",0.75,0.6666666666666666,0.6,0.0
412261,"Rep. Steve Scalise [R, 2008-2022]",0.75,0.6666666666666666,0.8,0.0
412269,"Rep. Bill Cassidy [R, 2009-2014]",0.75,,,
412270,"Rep. Jason Chaffetz [R, 2009-2017]",0.25,0.6666666666666666,,
412271,"Rep. Mike Coffman [R, 2009-2018]",0.75,0.6666666666666666,0.4,
412275,"Rep. John Fleming [R, 2009-2016]",0.5,0.3333333333333333,,
412278,"Rep. Brett Guthrie [R, 2009-2022]",0.75,0.6666666666666666,0.8,0.0
