person,state,district,vote,name,party
412211,KY,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat
412212,MD,3,Yea,"Rep. John Sarbanes [D, 2007-2022]",Democrat
412213,MI,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican
412217,NE,3,Nay,"Rep. Adrian Smith [R, 2007-2022]",Republican
412221,NY,9,Yea,"Rep. Yvette Clarke [D, 2013-2022]",Democrat
412226,OH,4,Nay,"Rep. Jim Jordan [R, 2007-2022]",Republican
412236,TN,9,Yea,"Rep. Steve Cohen [D, 2007-2022]",Democrat
412239,VT,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat
412250,FL,12,Nay,"Rep. Gus Bilirakis [R, 2013-2022]",Republican
412255,VA,1,Nay,"Rep. Robert Wittman [R, 2007-2022]",Republican
412256,OH,5,Nay,"Rep. Robert Latta [R, 2007-2022]",Republican
412257,IL,11,Yea,"Rep. Bill Foster [D, 2013-2022]",Democrat
412258,IN,7,Yea,"Rep. André Carson [D, 2008-2022]",Democrat
412259,CA,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat
412261,LA,1,Nay,"Rep. Steve Scalise [R, 2008-2022]",Republican
412272,VA,11,Yea,"Rep. Gerald Connolly [D, 2009-2022]",Democrat
412278,KY,2,Nay,"Rep. Brett Guthrie [R, 2009-2022]",Republican
412282,CT,4,Yea,"Rep. James Himes [D, 2009-2022]",Democrat
412286,AZ,2,Not Voting,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat
412292,MO,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2022]",Republican
412293,NM,3,Yea,"Rep. Ben Luján [D, 2009-2020]",Democrat
412295,CA,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican
412302,TX,22,Nay,"Rep. Pete Olson [R, 2009-2020]",Republican
412307,ME,1,Yea,"Rep. Chellie Pingree [D, 2009-2022]",Democrat
412309,FL,8,Nay,"Rep. Bill Posey [R, 2013-2022]",Republican
412310,TN,1,Nay,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412315,OR,5,Nay,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,15,Nay,"Rep. Glenn Thompson [R, 2019-2022]",Republican
412318,NV,1,Yea,"Rep. Dina Titus [D, 2013-2022]",Democrat
412319,NY,20,Yea,"Rep. Paul Tonko [D, 2013-2022]",Democrat
412327,OH,11,Yea,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,Yea,"Rep. Mike Quigley [D, 2009-2022]",Democrat
412379,CA,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat
412382,CA,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat
412385,FL,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat
412388,GA,14,Nay,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Nay,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,Yea,"Rep. Terri Sewell [D, 2011-2022]",Democrat
412397,AZ,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2022]",Republican
412402,AR,3,Nay,"Rep. Steve Womack [R, 2011-2022]",Republican
412404,CA,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Nay,"Rep. Scott Tipton [R, 2011-2020]",Republican
412410,FL,11,Nay,"Rep. Daniel Webster [R, 2017-2022]",Republican
412412,FL,24,Not Voting,"Rep. Frederica Wilson [D, 2013-2022]",Democrat
412416,GA,7,Nay,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,Nay,"Rep. Austin Scott [R, 2011-2022]",Republican
412421,IL,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412427,IN,8,Nay,"Rep. Larry Bucshon [R, 2011-2022]",Republican
412432,LA,2,Yea,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Nay,"Rep. Andy Harris [R, 2011-2022]",Republican
412435,MA,9,Yea,"Rep. William Keating [D, 2013-2022]",Democrat
412437,MI,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,Nay,"Rep. Justin Amash [L, 2011-2020]",Libertarian
412443,MS,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican
412460,OH,6,Nay,"Rep. Bill Johnson [R, 2011-2022]",Republican
412461,OH,15,Nay,"Rep. Steve Stivers [R, 2011-2022]",Republican
412463,OH,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412465,PA,16,Nay,"Rep. Mike Kelly [R, 2019-2022]",Republican
412470,RI,1,Yea,"Rep. David Cicilline [D, 2011-2022]",Democrat
