House Vote #349 2014-06-24T14:40:00 - H.R. 4413 (113th): Customer Protection and End User Relief Act
person,state,district,vote,name,party
412190,CA,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,Aye,"Rep. Doug Lamborn [R, 2007-2022]",Republican
412192,CO,7,No,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,No,"Rep. Joe Courtney [D, 2007-2022]",Democrat
412195,FL,14,No,"Rep. Kathy Castor [D, 2013-2022]",Democrat
412196,FL,16,Aye,"Rep. Vern Buchanan [R, 2013-2022]",Republican
412199,GA,4,No,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2022]",Democrat
412202,IL,6,Aye,"Rep. Peter Roskam [R, 2007-2018]",Republican
412208,IA,1,No,"Rep. Bruce Braley [D, 2007-2014]",Democrat
412209,IA,2,Aye,"Rep. David Loebsack [D, 2007-2020]",Democrat
412211,KY,3,No,"Rep. John Yarmuth [D, 2007-2022]",Democrat
412212,MD,3,No,"Rep. John Sarbanes [D, 2007-2022]",Democrat
412213,MI,7,Aye,"Rep. Tim Walberg [R, 2011-2022]",Republican
412214,MN,1,Aye,"Rep. Timothy Walz [D, 2007-2018]",Democrat
412215,MN,5,No,"Rep. Keith Ellison [D, 2007-2018]",Democrat
412216,MN,6,Aye,"Rep. Michele Bachmann [R, 2007-2014]",Republican
412217,NE,3,Aye,"Rep. Adrian Smith [R, 2007-2022]",Republican
412219,NH,1,No,"Rep. Carol Shea-Porter [D, 2013-2014]",Democrat
412221,NY,9,No,"Rep. Yvette Clarke [D, 2013-2022]",Democrat
412226,OH,4,Aye,"Rep. Jim Jordan [R, 2007-2022]",Republican
412236,TN,9,No,"Rep. Steve Cohen [D, 2007-2022]",Democrat
412239,VT,0,No,"Rep. Peter Welch [D, 2007-2022]",Democrat
412250,FL,12,Aye,"Rep. Gus Bilirakis [R, 2013-2022]",Republican
412252,GA,10,Aye,"Rep. Paul Broun Jr. [R, 2007-2014]",Republican
412254,MA,3,No,"Rep. Niki Tsongas [D, 2013-2018]",Democrat
412255,VA,1,Aye,"Rep. Robert Wittman [R, 2007-2022]",Republican
412256,OH,5,Aye,"Rep. Robert Latta [R, 2007-2022]",Republican
412257,IL,11,No,"Rep. Bill Foster [D, 2013-2022]",Democrat
412258,IN,7,No,"Rep. André Carson [D, 2008-2022]",Democrat
412259,CA,14,No,"Rep. Jackie Speier [D, 2013-2022]",Democrat
412261,LA,1,Aye,"Rep. Steve Scalise [R, 2008-2022]",Republican
412263,MD,4,No,"Rep. Donna Edwards [D, 2008-2016]",Democrat
412269,LA,6,Aye,"Rep. Bill Cassidy [R, 2009-2014]",Republican
412270,UT,3,Aye,"Rep. Jason Chaffetz [R, 2009-2017]",Republican
412271,CO,6,Aye,"Rep. Mike Coffman [R, 2009-2018]",Republican
412272,VA,11,No,"Rep. Gerald Connolly [D, 2009-2022]",Democrat
412275,LA,4,Aye,"Rep. John Fleming [R, 2009-2016]",Republican
412276,FL,9,No,"Rep. Alan Grayson [D, 2013-2016]",Democrat
412278,KY,2,Aye,"Rep. Brett Guthrie [R, 2009-2022]",Republican
412280,MS,3,Aye,"Rep. Gregg Harper [R, 2009-2018]",Republican
412282,CT,4,No,"Rep. James Himes [D, 2009-2022]",Democrat
412283,CA,50,Aye,"Rep. Duncan Hunter [R, 2013-2020]",Republican
412284,KS,2,Aye,"Rep. Lynn Jenkins [R, 2009-2018]",Republican
412286,AZ,1,Aye,"Rep. Ann Kirkpatrick [D, 2013-2016]",Democrat
412290,NJ,7,Aye,"Rep. Leonard Lance [R, 2009-2018]",Republican
412292,MO,3,Aye,"Rep. Blaine Luetkemeyer [R, 2013-2022]",Republican
412293,NM,3,No,"Rep. Ben Luján [D, 2009-2020]",Democrat
412294,WY,0,Aye,"Rep. Cynthia Lummis [R, 2009-2016]",Republican
412295,CA,4,Aye,"Rep. Tom McClintock [R, 2009-2022]",Republican
412297,NY,24,Aye,"Rep. Daniel Maffei [D, 2013-2014]",Democrat
412302,TX,22,Aye,"Rep. Pete Olson [R, 2009-2020]",Republican
412303,MN,3,Aye,"Rep. Erik Paulsen [R, 2009-2018]",Republican
412305,MI,14,Aye,"Rep. Gary Peters [D, 2013-2014]",Democrat
412307,ME,1,No,"Rep. Chellie Pingree [D, 2009-2022]",Democrat
412308,CO,2,Not Voting,"Rep. Jared Polis [D, 2009-2018]",Democrat
412309,FL,8,Aye,"Rep. Bill Posey [R, 2013-2022]",Republican
412310,TN,1,Aye,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412311,FL,17,Aye,"Rep. Thomas Rooney [R, 2013-2018]",Republican
412314,IL,18,Aye,"Rep. Aaron Schock [R, 2009-2015]",Republican
412315,OR,5,Aye,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,5,Aye,"Rep. Glenn Thompson [R, 2009-2018]",Republican
412318,NV,1,No,"Rep. Dina Titus [D, 2013-2022]",Democrat
412319,NY,20,No,"Rep. Paul Tonko [D, 2013-2022]",Democrat
412327,OH,11,No,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,Aye,"Rep. Mike Quigley [D, 2009-2022]",Democrat
412379,CA,27,No,"Rep. Judy Chu [D, 2013-2022]",Democrat
412382,CA,3,Aye,"Rep. John Garamendi [D, 2013-2022]",Democrat
412383,NY,21,Aye,"Rep. William Owens [D, 2013-2014]",Democrat
412385,FL,21,No,"Rep. Theodore “Ted” Deutch [D, 2013-2016]",Democrat
412388,GA,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican
412392,IN,3,Aye,"Rep. Marlin Stutzman [R, 2010-2016]",Republican
412393,NY,23,Aye,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Aye,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,Aye,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,No,"Rep. Terri Sewell [D, 2011-2022]",Democrat
412397,AZ,4,Aye,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,Aye,"Rep. Eric “Rick” Crawford [R, 2011-2022]",Republican
412401,AR,2,Aye,"Rep. Tim Griffin [R, 2011-2014]",Republican
412402,AR,3,Aye,"Rep. Steve Womack [R, 2011-2022]",Republican
412403,CA,10,Aye,"Rep. Jeff Denham [R, 2013-2018]",Republican
412404,CA,37,No,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Aye,"Rep. Scott Tipton [R, 2011-2020]",Republican
412406,CO,4,Aye,"Rep. Cory Gardner [R, 2011-2014]",Republican
412407,DE,0,No,"Rep. John Carney [D, 2011-2016]",Democrat
412408,FL,2,Aye,"Rep. Steve Southerland [R, 2011-2014]",Republican
412409,FL,11,Aye,"Rep. Richard Nugent [R, 2013-2016]",Republican
412410,FL,10,Aye,"Rep. Daniel Webster [R, 2013-2016]",Republican
412411,FL,15,Aye,"Rep. Dennis Ross [R, 2013-2018]",Republican
412412,FL,24,No,"Rep. Frederica Wilson [D, 2013-2022]",Democrat
412416,GA,7,Aye,"Rep. Rob Woodall [R, 2011-2020]",Republican
412417,GA,8,Aye,"Rep. Austin Scott [R, 2011-2022]",Republican
412418,HI,1,No,"Rep. Colleen Hanabusa [D, 2011-2014]",Democrat
412419,ID,1,Aye,"Rep. Raúl Labrador [R, 2011-2018]",Republican
412421,IL,16,Aye,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
412422,IL,14,Aye,"Rep. Randy Hultgren [R, 2011-2018]",Republican
412426,IN,4,Aye,"Rep. Todd Rokita [R, 2011-2018]",Republican
412427,IN,8,Aye,"Rep. Larry Bucshon [R, 2011-2022]",Republican
412428,IN,9,Aye,"Rep. Todd Young [R, 2011-2016]",Republican
412429,KS,1,Aye,"Rep. Tim Huelskamp [R, 2011-2016]",Republican
412430,KS,3,Aye,"Rep. Kevin Yoder [R, 2011-2018]",Republican
412431,KS,4,Not Voting,"Rep. Mike Pompeo [R, 2011-2017]",Republican
412432,LA,2,No,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Aye,"Rep. Andy Harris [R, 2011-2022]",Republican
412435,MA,9,No,"Rep. William Keating [D, 2013-2022]",Democrat
412436,MI,1,Aye,"Rep. Dan Benishek [R, 2011-2016]",Republican
412437,MI,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,Aye,"Rep. Justin Amash [R, 2011-2020]",Republican
412442,MS,1,Not Voting,"Rep. Alan Nunnelee [R, 2011-2015]",Republican
412443,MS,4,Aye,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,Aye,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,Aye,"Rep. Billy Long [R, 2011-2022]",Republican
412446,NV,3,Aye,"Rep. Joseph Heck [R, 2011-2016]",Republican
412449,NJ,3,Aye,"Rep. Jon Runyan [R, 2011-2014]",Republican
412451,NY,11,Aye,"Rep. Michael Grimm [R, 2013-2014]",Republican
412453,NY,19,Aye,"Rep. Christopher Gibson [R, 2013-2016]",Republican
412454,NY,22,Not Voting,"Rep. Richard Hanna [R, 2013-2016]",Republican
412457,NC,2,Aye,"Rep. Renee Ellmers [R, 2011-2016]",Republican
412460,OH,6,Aye,"Rep. Bill Johnson [R, 2011-2022]",Republican
412461,OH,15,Aye,"Rep. Steve Stivers [R, 2011-2022]",Republican
412462,OH,16,Aye,"Rep. James Renacci [R, 2011-2018]",Republican
412463,OH,7,Aye,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412464,OK,5,Not Voting,"Rep. James Lankford [R, 2011-2014]",Republican
412465,PA,3,Aye,"Rep. Mike Kelly [R, 2011-2018]",Republican
412466,PA,7,Aye,"Rep. Patrick Meehan [R, 2011-2018]",Republican
412468,PA,10,Aye,"Rep. Tom Marino [R, 2011-2018]",Republican
412469,PA,11,Aye,"Rep. Lou Barletta [R, 2011-2018]",Republican
412470,RI,1,No,"Rep. David Cicilline [D, 2011-2022]",Democrat
412472,SC,3,Aye,"Rep. Jeff Duncan [R, 2011-2022]",Republican
412473,SC,4,Aye,"Rep. Trey Gowdy [R, 2011-2018]",Republican
412474,SC,5,Aye,"Rep. Mick Mulvaney [R, 2011-2017]",Republican
412475,SD,0,Aye,"Rep. Kristi Noem [R, 2011-2018]",Republican
412476,TN,3,Aye,"Rep. Charles “Chuck” Fleischmann [R, 2011-2022]",Republican
412477,TN,4,Aye,"Rep. Scott DesJarlais [R, 2011-2022]",Republican
412478,TN,6,Aye,"Rep. Diane Black [R, 2011-2018]",Republican
412479,TN,8,Aye,"Rep. Stephen Fincher [R, 2011-2016]",Republican
412480,TX,17,Aye,"Rep. Bill Flores [R, 2011-2020]",Republican
412482,TX,27,Aye,"Rep. Blake Farenthold [R, 2011-2018]",Republican
412483,VA,2,Aye,"Rep. Edward “Scott” Rigell [R, 2011-2016]",Republican
412484,VA,5,Aye,"Rep. Robert Hurt [R, 2011-2016]",Republican
412485,VA,9,Aye,"Rep. Morgan Griffith [R, 2011-2022]",Republican
412486,WA,3,Aye,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Aye,"Rep. David McKinley [R, 2011-2022]",Republican
412488,WI,7,Aye,"Rep. Sean Duffy [R, 2011-2019]",Republican
412489,WI,8,Aye,"Rep. Reid Ribble [R, 2011-2016]",Republican
412498,CA,44,No,"Rep. Janice Hahn [D, 2013-2016]",Democrat
